Name,ID,Bundesland,VAP,Total votes,Number of valid erst stimmen,Number of valid zweit stimmen,Turnout,CDU Erst stimmen,CDU Zweit stimmen,CDU % Erst stimmen,CDU % Zweit stimmen,SPD Erst stimmen,SPD Zweit stimmen,SPD % Erst stimmen,SPD % Zweit stimmen,Linke Erst stimmen,Linke Zweit stimmen,Linke % Erst stimmen,Linke % Zweit stimmen,Grüne Erst stimmen,Grüne Zweit stimmen,Grüne % Erst stimmen,Grüne % Zweit stimmen,CSU Erst stimmen,CSU Zweit stimmen,CSU % Erst stimmen,CSU % Zweit stimmen,FDP Erst stimmen,FDP Zweit stimmen,FDP % Erst stimmen,FDP % Zweit stimmen,AfD Erst stimmen,AfD Zweit stimmen,AfD % Erst stimmen,AfD % Zweit stimmen,Other Erst stimmen,Other Zweit stimmen,Other % Erst stimmen,Other % Zweit stimmen
Country-Wide,,,61168234,46838765,46339602,46419448,0.7657367548,10445571,8770980,0.2254134811,0.188950545,12228363,11949756,0.2638858012,0.2574299462,2306755,2269993,0.04977934424,0.04890176635,6465502,6848215,0.1395243317,0.1475290055,2787904,2402826,0.06016245025,0.05176334712,4040783,5316698,0.08719934625,0.1145360022,4694017,4802097,0.1012960146,0.10345011,3370707,4058883,0.07273923069,0.08743927761
Schleswig-Holstein (SH),,,2250117,1761345,1745117,1747786,0.7827792955,461772,384786,0.2646080463,0.2201562434,525771,489879,0.3012812321,0.2802854583,55191,63759,0.03162595975,0.03647986653,313382,320319,0.1795764983,0.1832712929,,,,,165597,218061,0.09489163191,0.1247641302,112468,118330,0.06444725483,0.06770279657,110936,152652,0.06356937672,0.08734021213
Mecklenburg-Vorpommern (MV),,,1312068,935040,917909,918674,0.7126459909,180625,160134,0.1967787657,0.1743099293,261308,267381,0.2846774571,0.2910510148,116005,101675,0.1263796302,0.1106758219,62647,71922,0.06824968488,0.07828892512,,,,,66326,75460,0.07225770746,0.08214012805,170004,165368,0.1852079019,0.1800072713,60994,76734,0.06644885277,0.08352690944
Hamburg (HH),,,1299280,1010922,1002978,1005104,0.778063235,179621,155297,0.1790876769,0.1545083892,334786,298341,0.3337919675,0.2968260001,72427,67520,0.0722119528,0.06717712794,237069,250288,0.2363651047,0.2490170171,,,,,84562,114402,0.08431092207,0.1138210573,49883,50615,0.0497348895,0.05035797291,44630,68641,0.04449748649,0.06829243541
Niedersachsen (NI),,,6104769,4563324,4518460,4523049,0.7475015025,1323008,1093491,0.2928006445,0.2417597068,1603890,1498652,0.3549638594,0.3313366713,142765,148602,0.03159594198,0.0328543865,646823,726576,0.1431512064,0.1606385427,,,,,347800,474591,0.07697312801,0.1049272294,291987,336394,0.06462091066,0.07437328227,162187,244743,0.03589430912,0.05411018099
Bremen (HB),,,459736,330140,326411,327229,0.7181077836,67872,56431,0.2079341689,0.1724510969,108220,102988,0.3315451992,0.3147276067,25844,25289,0.07917625325,0.07728227021,60404,68166,0.185055038,0.2083128329,,,,,22353,30406,0.068481148,0.09291963732,21628,22554,0.06626002187,0.06892420904,20090,21395,0.06154817086,0.06538234692
Brandenburg (BB),,,2048626,1549541,1527701,1529575,0.756380618,283684,233909,0.1856934047,0.1529241783,437707,450534,0.2865135259,0.2945484857,142623,129749,0.09335792802,0.08482683098,120004,137467,0.07855202032,0.08987267705,,,,,121095,142428,0.0792661653,0.09311606165,279969,277380,0.1832616461,0.1813444911,142619,158108,0.09335530971,0.1033672752
Sachsen-Anhalt (ST),,,1789763,1214818,1200150,1201903,0.678759143,299347,252284,0.2494246553,0.2099037942,293174,305048,0.2442811315,0.2538041755,127581,115324,0.106304212,0.09595117077,64327,78698,0.05359913344,0.06547782974,,,,,96089,114014,0.08006415865,0.09486123256,242068,235487,0.2016981211,0.1959284568,77564,101048,0.06462858809,0.08407334036
Berlin (BE),,,2468919,1855406,1823521,1824942,0.7515054159,344462,289520,0.1888993875,0.1586461378,416803,428045,0.2285704415,0.2345526598,260128,208886,0.1426514967,0.1144617199,380226,408168,0.2085119941,0.2236608068,,,,,129524,165643,0.07102961798,0.09076617229,147022,153585,0.08062533966,0.08415883902,145356,171095,0.07971172254,0.0937536645
Nordrhein-Westfalen (NW),,,13040815,9962420,9868180,9887661,0.7639415175,2973404,2566856,0.3013122987,0.2596019423,3068510,2880012,0.3109499421,0.2912733355,317845,366918,0.03220908009,0.03710867515,1500584,1587039,0.1520628931,0.1605070198,,,,,851310,1130066,0.08626818724,0.1142905284,705072,717479,0.07144904126,0.07256306623,451455,639291,0.04574855748,0.06465543267
